lookup_id,sku_brand,fill_style_id,fill_style_name,fill_style_name_grouping,fill_sku_shopify,fill_barcode
3126,GL478T-DB04-35-00-4,6967801872467,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,40623876276307,197217312382
3127,GL478T-DB04-35-6-12,6967801872467,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,40623876309075,197217312467
3128,GL478T-DB04-35-14-18,6967801872467,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,40623876341843,197217312405
3129,GL478T-DB04-35-20-26,6967801872467,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,40623876374611,197217312429
3130,GL478T-DB04-35-28-32,6967801872467,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,40623876407379,197217312443
3136,GLSKAF478T-DB06-A,6946544287827,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,42566607306835,197217009077
3137,GLSKAF478T-DB06-B,6946544287827,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,42566607339603,197217009084
3138,GLSKAF478T-DB06-C,6946544287827,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,42566607372371,197217009091
3139,GLSKAF478T-DB06-D,6946544287827,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,42566607405139,197217009107
3140,GLSKAF478T-DB06-E,6946544287827,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,42566607437907,197217009114
3141,GLSKAF478T-DB06-35-00-4,6946544287827,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,41303506780243,197217468683
3142,GLSKAF478T-DB06-35-6-12,6946544287827,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,41303506813011,197217468720
3143,GLSKAF478T-DB06-35-14-18,6946544287827,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,41303506845779,197217468690
3144,GLSKAF478T-DB06-35-20-26,6946544287827,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,41303506878547,197217468706
3145,GLSKAF478T-DB06-35-28-32,6946544287827,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,41303506911315,197217468713
673,GLAFDBP478T-I316-00-4,7423563432019,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,42101187280979,197217689279
674,GLAFDBP478T-I316-6-12,7423563432019,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,42101187313747,197217689316
675,GLAFDBP478T-I316-14-18,7423563432019,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,42101187248211,197217689286
676,GLAFDBP478T-I316-20-26,7423563432019,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,42101187182675,197217689293
677,GLAFDBP478T-I316-28-32,7423563432019,ALWAYS FITS GOOD LEGS SKINNY JEANS,Good Legs Skinny,42101187215443,197217689309
412,GLAF478T-I316-A,6861786349651,ALWAYS FITS GOOD LEGS STRAIGHT JEANS,Good Legs Straight,40290601304147,019675763554
413,GLAF478T-I316-B,6861786349651,ALWAYS FITS GOOD LEGS STRAIGHT JEANS,Good Legs Straight,40290601336915,019675763561
414,GLAF478T-I316-C,6861786349651,ALWAYS FITS GOOD LEGS STRAIGHT JEANS,Good Legs Straight,40290601369683,019675763578
415,GLAF478T-I316-D,6861786349651,ALWAYS FITS GOOD LEGS STRAIGHT JEANS,Good Legs Straight,40290601402451,019675763585
416,GLAF478T-I316-E,6861786349651,ALWAYS FITS GOOD LEGS STRAIGHT JEANS,Good Legs Straight,40290601435219,019675763592
436,GLAF478TLI-I316-32-00-4,7424087851091,ALWAYS FITS GOOD LEGS STRAIGHT JEANS LONG,Good Legs Straight,42102552526931,197217661244
437,GLAF478TLI-I316-32-6-12,7424087851091,ALWAYS FITS GOOD LEGS STRAIGHT JEANS LONG,Good Legs Straight,42102633431123,197217661282
438,GLAF478TLI-I316-32-14-18,7424087851091,ALWAYS FITS GOOD LEGS STRAIGHT JEANS LONG,Good Legs Straight,42102633496659,197217661251
439,GLAF478TLI-I316-32-20-26,7424087851091,ALWAYS FITS GOOD LEGS STRAIGHT JEANS LONG,Good Legs Straight,42102633529427,197217661268
440,GLAF478TLI-I316-32-28-32,7424087851091,ALWAYS FITS GOOD LEGS STRAIGHT JEANS LONG,Good Legs Straight,42102633463891,197217661275
1026,GLSTAF478B001-K414-00-4,7509325054035,ALWAYS FITS GOOD LEGS STRAIGHT JEANS,Good Legs Straight,42414982692947,197217796953
1027,GLSTAF478B001-K414-6-12,7509325054035,ALWAYS FITS GOOD LEGS STRAIGHT JEANS,Good Legs Straight,42414982594643,197217796991
1028,GLSTAF478B001-K414-14-18,7509325054035,ALWAYS FITS GOOD LEGS STRAIGHT JEANS,Good Legs Straight,42414982660179,197217796960
1029,GLSTAF478B001-K414-20-26,7509325054035,ALWAYS FITS GOOD LEGS STRAIGHT JEANS,Good Legs Straight,42414982561875,197217796977
1030,GLSTAF478B001-K414-28-32,7509325054035,ALWAYS FITS GOOD LEGS STRAIGHT JEANS,Good Legs Straight,42414982627411,197217796984
402,GLSTAF739T-I571-00-4,7051115135059,ALWAYS FITS GOOD LEGS STRAIGHT JEANS,Good Legs Straight,41029216665683,197217363537
403,GLSTAF739T-I571-6-12,7051115135059,ALWAYS FITS GOOD LEGS STRAIGHT JEANS,Good Legs Straight,41029216698451,197217363575
404,GLSTAF739T-I571-14-18,7051115135059,ALWAYS FITS GOOD LEGS STRAIGHT JEANS,Good Legs Straight,41029216731219,197217363544
405,GLSTAF739T-I571-20-26,7051115135059,ALWAYS FITS GOOD LEGS STRAIGHT JEANS,Good Legs Straight,41029216763987,197217363551
406,GLSTAF739T-I571-28-32,7051115135059,ALWAYS FITS GOOD LEGS STRAIGHT JEANS,Good Legs Straight,41029216796755,197217363568
849,GLSNFAF478T-I948-00-4,7454715969619,ALWAYS FITS GOOD LEGS STRAIGHT JEANS,Good Legs Straight,42253068730451,197217753604
850,GLSNFAF478T-I948-6-12,7454715969619,ALWAYS FITS GOOD LEGS STRAIGHT JEANS,Good Legs Straight,42253068697683,197217753642
851,GLSNFAF478T-I948-14-18,7454715969619,ALWAYS FITS GOOD LEGS STRAIGHT JEANS,Good Legs Straight,42253068664915,197217753611
